event_id,user_id,product_id,event_type,event_timestamp,session_id,device_type,traffic_source,session_duration_seconds
6055524,92110232,244629,purchase,2023-11-22 11:07:29.880603552,670674,desktop,paid_search,33.02
8317110,93743331,656284,begin_checkout,2024-07-15 01:24:36.762744904,493145,mobile,organic,198.16
2525049,90382628,998168,page_view,2023-01-06 06:36:51.565792799,212934,mobile,organic,195.07
3570698,98123876,133577,page_view,2024-11-03 10:29:18.290683985,671040,desktop,direct,134.28
8870751,98098974,248823,page_view,2024-03-12 10:13:55.795352221,445168,mobile,direct,0.91
9374435,98148428,846901,page_view,2024-01-05 00:59:28.643866062,281891,desktop,organic,227.28
5820365,92834096,948424,begin_checkout,2023-08-03 23:02:01.598254681,167018,mobile,organic,119.21
9303960,96301472,991109,add_to_cart,2023-04-27 01:54:58.426998377,956816,mobile,organic,276.42
5711870,90071012,695822,purchase,2023-12-21 03:39:42.198964119,336237,tablet,direct,154.23
4464233,94960048,288749,page_view,2023-01-08 09:06:24.458597898,147394,desktop,direct,156.77
5720036,8601589,992290,add_to_cart,2023-09-25 17:05:52.836829424,579279,mobile,organic,187.86
3105729,5003027,858611,page_view,2024-03-28 11:09:51.721252918,669040,mobile,social,132.66
7859155,3817793,237212,add_to_cart,2023-06-14 12:51:10.393295765,522143,desktop,paid_search,75.98
4551384,9561482,251262,purchase,2024-11-18 14:49:51.132018089,197043,mobile,organic,230.82
5326278,9850735,894152,add_to_cart,2024-04-22 16:29:27.294017076,145055,desktop,organic,268.18
4183674,6280649,131413,page_view,2024-08-26 20:44:55.230475664,900320,mobile,organic,163.08
6740667,1012586,625865,add_to_cart,2023-11-04 20:30:09.751344204,754359,mobile,paid_search,283.06
7689725,2900339,297492,page_view,2023-11-05 19:02:55.130227565,401233,tablet,organic,48.99
2206311,4834494,435852,page_view,2024-09-18 10:51:35.081946611,634825,desktop,paid_search,152.54
6341392,7127159,972798,page_view,2024-04-14 16:41:47.729133844,414994,desktop,direct,292.67
9130868,6024156,898248,add_to_cart,2023-03-01 00:47:23.214964867,581713,desktop,organic,53.23
7453982,5904756,415959,add_to_cart,2023-03-19 13:19:13.790811539,450690,mobile,organic,6.65
8201372,2689919,876702,add_to_cart,2023-06-27 15:03:43.040862083,794056,desktop,organic,106.03
2288463,2047279,422796,page_view,2024-05-25 00:49:19.027845144,479022,desktop,paid_search,296.08
4549521,6396493,797677,begin_checkout,2023-01-22 02:20:45.369561672,492393,tablet,social,287.65
7384801,7126418,630171,page_view,2024-04-29 02:45:51.436667442,689060,mobile,email,296.8
