user_id,signup_date,country,device_type,traffic_source,is_new_customer,favorite_product_id,lifetime_orders,lifetime_value
6882281,2021-02-12 23:07:43.872820139,France,mobile,email,1,492459,35,3853.94
4683266,2021-07-26 17:16:08.911178112,UK,desktop,organic,1,663869,44,8339.14
2846178,2021-10-20 17:54:19.639446974,UK,desktop,organic,1,544797,17,1591.74
9761573,2021-12-15 12:39:33.817914248,Turkey,mobile,organic,0,515674,40,3085.01
6797488,2023-06-07 11:18:53.058947325,Turkey,desktop,organic,1,436050,41,4915.27
3034178,2022-05-08 02:30:22.764940023,Turkey,mobile,organic,0,254612,5,801.81
3138821,2022-11-15 12:07:19.388819933,Germany,desktop,social,0,485623,4,7919.74
6297844,2024-12-02 02:14:59.290543318,Turkey,mobile,email,0,589173,27,9109.77
5336949,2021-05-13 12:57:02.319827795,USA,desktop,organic,1,370507,38,8821.98
2396697,2021-03-05 05:55:02.931389570,Turkey,mobile,direct,0,150555,46,3172.07
2690620,2021-03-29 20:55:28.550590992,Turkey,mobile,paid_search,1,918904,39,9316.89
5714858,2021-03-02 01:16:59.714944839,USA,mobile,organic,1,798441,14,6359.71
7380847,2024-03-14 13:50:54.448091030,Turkey,mobile,paid_search,1,539820,22,5849.81
3571713,2021-03-10 01:27:55.418380737,Germany,desktop,paid_search,1,606888,47,5931.4
8166100,2024-09-23 04:12:54.012686729,USA,mobile,social,0,753483,36,5509.4
1615410,2021-02-02 09:51:53.257841109,Turkey,desktop,organic,0,940825,33,2285.67
6683434,2023-07-01 08:02:45.642468452,Turkey,desktop,organic,1,315829,8,9184.3
3471623,2023-05-19 21:32:06.144291162,USA,desktop,paid_search,1,506364,38,8896.09
4955053,2023-11-14 01:22:40.736373901,Turkey,tablet,direct,0,968700,20,3994.84
4716304,2021-04-01 19:34:49.427104712,Turkey,mobile,organic,1,221412,41,5495.26
8979529,2024-01-29 05:22:02.622859240,Turkey,mobile,organic,0,184650,35,6836.87
6401543,2023-10-12 21:30:10.635308743,UK,mobile,paid_search,1,306104,7,3372.95
7879110,2021-12-24 17:38:02.491626263,Turkey,desktop,paid_search,0,798441,29,960.47
2938176,2023-06-22 07:31:16.781294823,UK,desktop,paid_search,1,120864,2,6374.9
6871968,2021-10-18 17:53:46.558624268,USA,desktop,email,1,299255,32,497.27
5859807,2023-08-30 05:27:49.902001858,Turkey,mobile,direct,1,684170,24,929.75
7786163,2023-01-19 22:45:17.699776649,France,mobile,direct,1,901983,30,4771.07
6060408,2021-06-05 01:20:17.831492662,Turkey,mobile,social,1,562945,13,3018.88
3483279,2024-12-16 14:35:09.275547743,UK,mobile,paid_search,1,717924,42,8003.5
5657149,2022-09-18 06:51:58.831591368,Turkey,desktop,direct,0,215714,48,6733.69
6153177,2021-02-27 02:36:26.364446402,Germany,mobile,organic,1,302426,1,4674.17
7270242,2022-10-03 22:38:54.992647648,Germany,mobile,paid_search,1,382578,21,4164.82
6806595,2021-11-11 16:43:39.763725281,USA,mobile,organic,1,792593,14,7293.98
3371938,2023-11-15 18:31:59.801087141,USA,desktop,social,0,643403,28,1368.6
2220250,2021-06-26 00:18:36.571733713,UK,mobile,organic,1,180716,29,8826.22
4076810,2021-02-27 16:33:51.676509857,Turkey,mobile,organic,1,349075,7,2308.34
1844288,2021-02-11 19:17:02.028703690,Turkey,mobile,paid_search,1,800558,5,3943.87
9899600,2021-08-04 11:00:13.538097620,Turkey,mobile,paid_search,1,994006,43,5562.65
6719250,2021-08-31 14:29:59.411663055,Turkey,tablet,direct,1,744638,15,3090.84
5202356,2022-08-22 10:31:26.725485325,Germany,mobile,paid_search,1,614646,26,5321.43
5907536,2023-12-22 21:49:28.633123398,USA,mobile,direct,1,632607,2,8190.76
7230434,2022-06-28 16:02:05.546340227,Turkey,mobile,paid_search,0,957274,22,138.51
4813878,2021-02-15 06:16:48.925629854,Turkey,mobile,direct,0,531175,17,817.54
8774942,2024-03-31 23:22:02.301856041,UK,mobile,organic,1,351676,2,3194.18
5971188,2021-07-13 17:12:45.225235701,Germany,mobile,paid_search,1,979890,45,8106.82
6801853,2022-09-30 23:07:44.048080444,Turkey,mobile,paid_search,0,377092,17,8069.07
6159209,2021-03-01 16:14:00.395635366,France,desktop,organic,0,464362,26,880.95
9248836,2023-06-18 06:40:09.356947184,Turkey,desktop,social,0,523106,45,794.68
4143208,2021-06-09 11:16:35.473063707,USA,tablet,organic,1,790154,49,8698.66
5954465,2024-04-04 04:06:32.580836058,USA,mobile,paid_search,0,887878,21,7893.08
1388439,2021-06-27 16:36:27.619972467,Turkey,desktop,direct,1,816060,29,1187.84
3444519,2024-04-08 06:11:31.731510162,France,desktop,organic,0,665178,5,180.78
5358228,2023-07-07 09:57:08.075015545,USA,mobile,direct,1,444910,49,8087.98
4490525,2021-05-16 04:33:36.931855679,France,desktop,paid_search,1,100667,21,8563.73
6817120,2021-04-08 00:54:53.873014927,UK,mobile,organic,1,980542,16,8931.09
6024156,2024-01-10 18:41:56.099101305,USA,mobile,paid_search,1,745835,22,8564.19
6900492,2022-01-11 06:30:19.716117382,UK,mobile,organic,1,378603,35,1417.42
9454282,2023-01-31 14:04:37.344895363,Germany,mobile,organic,1,345276,1,4123.55
7272886,2023-08-22 09:12:13.315250397,USA,desktop,organic,0,786892,21,530.52
